UAT ID,Module / Process,Test Scenario,Business Objective,Persona,Preconditions,Test Data,Navigation,Step-by-Step User Actions,Expected Result,Expected Status,Expected Notification,Expected Next User,Security / SoD Expectation,Evidence Required,Actual Result,Result,Defect ID,Tester,Execution Date,Comments
IA-UAT-LGN-001,Login / Navigation / Personas,Head of Internal Audit signs in,Confirm the Head of Internal Audit can reach the audit workspace after sign-in,Head of Internal Audit (audit.hia),Persona account active,audit.hia,Sign-in page,1. Open the application. 2. Enter the Head of Internal Audit user name and password. 3. Sign in.,Sign-in succeeds and the Internal Audit landing page is displayed with the user's name and role,Authenticated,No,Same user,Only Internal Audit content is offered,Screenshot of landing page,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-LGN-002,Login / Navigation / Personas,Sidebar reflects Head of Internal Audit duties,Confirm menu content matches the role's responsibilities,Head of Internal Audit (audit.hia),Signed in as HIA,-,Left navigation,1. Review the Internal Audit sections in the left menu. 2. Expand each group.,"Planning, approval, audits, action centre, registers, reports and reference data are visible",Authenticated,No,Same user,Configuration-only screens are not offered unless the role is entitled,Sidebar screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-LGN-003,Login / Navigation / Personas,Lead Auditor sign-in and menu,Confirm the Lead Auditor sees engagement delivery functions,Lead Auditor (audit.lead),Persona account active,audit.lead,Sign-in page then left navigation,1. Sign in as the Lead Auditor. 2. Review the left menu.,"Audits, programme, fieldwork, findings, reports and action centre are available; plan approval is not offered",Authenticated,No,Same user,Plan approval must not be offered to the preparer,Sidebar screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-LGN-004,Login / Navigation / Personas,Audit Team Member sign-in and menu,Confirm the team member sees assigned work only,Audit Team Member 1 (audit.auditor1),Persona account active,audit.auditor1,Sign-in page then left navigation,1. Sign in as Audit Team Member 1. 2. Review the left menu and the Action Centre entry.,"Assigned audits, fieldwork, evidence and findings are available; planning and approval functions are not",Authenticated,No,Same user,"No planning, approval or configuration entries",Sidebar screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-LGN-005,Login / Navigation / Personas,Auditee management sign-in and workspace,"Confirm an auditee reaches a management workspace, not the audit workspace",Benefits Management / Auditee (audit.mgmt.benefits),Persona account active,audit.mgmt.benefits,Sign-in page,1. Sign in as Benefits Management. 2. Observe the landing page and menu.,A management workspace listing the department's audit obligations is shown,Authenticated,No,Same user,"No auditor working papers, planning or quality review entries",Screenshot of management landing page,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-02,UAT Team (real persona sessions),2026-08-31,
IA-UAT-LGN-006,Login / Navigation / Personas,Sign out and session end,Confirm a business user can end the session safely,Head of Internal Audit (audit.hia),Signed in,-,User menu,1. Open the user menu. 2. Select sign out. 3. Attempt to return to the previous page using the browser back button.,The session ends and the previous audit page is no longer readable,Signed out,No,-,Session content is not readable after sign-out,Screenshot after sign-out,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ADM-001,Audit Administration,Maintain audited departments,Confirm reference departments can be maintained,Audit System Administrator (audit.admin),Signed in as Audit Administrator,UAT department record,Internal Audit > Departments,1. Open Departments. 2. Review the list. 3. Open one department and review its details.,"Departments load with name, head and active state",Read-only pass,No,-,Administrator may maintain reference data only,Screenshot of Departments list,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-01,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ADM-002,Audit Administration,Maintain business functions,Confirm functions can be maintained and are distinct from processes,Audit System Administrator (audit.admin),Departments exist,UAT function,Internal Audit > Business Functions,1. Open Business Functions. 2. Confirm each function is linked to a department. 3. Confirm functions are not presented as processes.,Functions list correctly and remain distinct from processes,Read-only pass,No,-,Reference data only,Screenshot,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-01,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ADM-003,Audit Administration,Auditor register,Confirm the auditor register is complete and usable for planning,Audit System Administrator (audit.admin),Auditors exist,Auditor profiles,Internal Audit > Auditor Profiles,"1. Open Auditor Profiles. 2. Review grade, availability and specialisation.",All active auditors are listed with the attributes needed for assignment,Read-only pass,No,-,Administrator cannot assign engagements,Screenshot,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-01,UAT Team (real persona sessions),2026-08-31,
IA-UAT-ADM-004,Audit Administration,Administrator is not the Head of Internal Audit,Prevent administrative rights being read as audit authority,Audit System Administrator (audit.admin),Signed in as Audit Administrator,-,Direct navigation to plan approval,1. Enter the plan approval address directly. 2. Observe the outcome.,Access is refused or the approval controls are unavailable,Denied,No,-,Administration must never confer approval authority,Screenshot of refusal,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-01,UAT Team (real persona sessions),2026-08-31,
IA-UAT-UNV-001,Audit Universe,Audit universe hierarchy,"Confirm the universe supports organisation, department, function and process levels",Audit System Administrator (audit.admin),Universe seeded,UAT universe entity,Internal Audit > Audit Universe,1. Open the Audit Universe. 2. Inspect the hierarchy levels. 3. Open one auditable entity.,Hierarchy is coherent and functions are not confused with processes,Read-only pass,No,-,-,Screenshot of the universe,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-UNV-002,Audit Universe,Universe entity used in planning,Confirm auditable entities can be selected when planning,Lead Auditor (audit.lead),Universe entities active,UAT entity,Internal Audit > Audit Plans > add engagement,1. Start adding an engagement to a plan. 2. Select an auditable entity.,The entity list is available and selection is retained,Draft,No,Same user,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-UNV-003,Audit Universe,Inactive entity handling,Confirm inactive entities cannot be selected for new work,Audit System Administrator (audit.admin),One inactive entity,Inactive entity,Internal Audit > Audit Universe,1. Mark or identify an inactive entity. 2. Attempt to use it when planning.,Inactive entities do not appear as planning candidates,Denied,No,-,-,Screenshot,Failed in first pass; retested after Remediation Wave 1 and now meets the expected result.,PASS AFTER REMEDIATION,UAT-DEF-01,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RSK-001,Risk Assessment,Risk register entries,Confirm risks can be recorded against departments and functions,Lead Auditor (audit.lead),Departments exist,UAT risk,Internal Audit > Risk Register,"1. Open the Risk Register. 2. Create a risk with description, category, owner and department.",Risk is saved and appears in the register,Saved,No,Same user,-,Screenshot with the risk reference,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RSK-002,Risk Assessment,Risk scoring and band,Confirm the configured methodology produces a score and band,Lead Auditor (audit.lead),Scoring configuration active,UAT risk,Internal Audit > Risk Assessment,1. Open Risk Assessment. 2. Score impact and likelihood using the configured scale. 3. Save.,"Score and risk band are produced by the configured methodology, not typed by hand",Saved,No,Same user,-,Screenshot showing score and band,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
IA-UAT-RSK-003,Risk Assessment,Residual risk and control consideration,Confirm control strength is considered where implemented,Lead Auditor (audit.lead),Risk scored,UAT risk,Internal Audit > Risk Assessment,1. Record control effectiveness. 2. Review the residual or composite result.,Residual result reflects the configured methodology,Saved,No,Same user,-,Screenshot,Observed result matched the expected result.,PASS,,UAT Team (real persona sessions),2026-08-31,
